row,pair_id,cve_id,cwe_id(정답),commit/출처,language,정답,우리_판정,우리_CWE,우리_정답여부,우리_사유,Claude_판정,Claude_CWE,Claude_정답여부,Claude_사유
0,pv_c79ccba517db_194994,CVE-2022-23578,CWE-401,c79ccba517dbb1a0ccb9b01ee3bd2a63748b60dd,C++,vuln,safe,,X,NONE,vuln,CWE-129,O,"e->src_output() is checked only for >=0 but not bounds-checked against n->num_outputs() before indexing outputs_required array, allowing potential out-of-bounds write."
1,pv_c79ccba517db_194994,CVE-2022-23578,CWE-401,c79ccba517dbb1a0ccb9b01ee3bd2a63748b60dd,C++,safe,safe,,O,NONE,vuln,CWE-129,X,"e.src_output() is used to index outputs_required without checking upper bound against n->num_outputs(), allowing out-of-bounds write if src_output exceeds allocated array size."
2,pv_8c6f391a2282_195056,CVE-2022-23557,CWE-369,8c6f391a2282684a25cbfec7687bd5d35261a209,C,vuln,safe,,X,NONE,vuln,CWE-617,O,"TFLITE_DCHECK_EQ is compiled out in release builds, so a non-multiple array_size/bias_size relationship or unvalidated bias_size/array_size from untrusted model data could cause out-of-bounds reads/wr"
3,pv_8c6f391a2282_195056,CVE-2022-23557,CWE-369,8c6f391a2282684a25cbfec7687bd5d35261a209,C,safe,safe,,O,NONE,parse_fail,,X,
4,pv_e746adbfcfee_195073,CVE-2022-23584,CWE-416,e746adbfcfee15e9cfdb391ff746c765b99bdf9b,C++,vuln,safe,,X,NONE,vuln,CWE-703,O,"OP_REQUIRES failures after allocate_output or CommonInitDecode return early without freeing decode resources or executing pending status checks, risking memory leaks/undefined behavior since OP_REQUIR"
5,pv_e746adbfcfee_195073,CVE-2022-23584,CWE-416,e746adbfcfee15e9cfdb391ff746c765b99bdf9b,C++,safe,safe,,O,NONE,vuln,CWE-190,X,"`height * width * decode.channels` in the uint16 buffer allocation can overflow since decode.channels isn't bounded and total_size check doesn't account for channel multiplier, causing undersized allo"
6,pv_a69b567b8c95_195074,CVE-2021-40571,CWE-415,a69b567b8c95c72f9560c873c5ab348be058f340,C,vuln,safe,,X,NONE,vuln,CWE-191,O,"`size -= 4` without validating size >= 4 beforehand, and the loop's obu_size handling can underflow size causing large loop bounds or heap overflow via gf_malloc/read_data with unchecked obu_size."
7,pv_a69b567b8c95_195074,CVE-2021-40571,CWE-415,a69b567b8c95c72f9560c873c5ab348be058f340,C,safe,safe,,O,NONE,vuln,CWE-191,X,"`size -= 4;` on a u32 size that could be less than 4 causes underflow to a huge value, leading to uncontrolled loop reading and potential OOB access via obu_size mismatches."
8,pv_35f0fabb4c17_195091,CVE-2022-23593,CWE-754,35f0fabb4c178253a964d7aabdbb15c6a398b69a,C++,vuln,safe,,X,NONE,vuln,CWE-129,O,"shapes[0] is accessed without checking that 'shapes' is non-empty, risking out-of-bounds access when shapes is empty."
9,pv_35f0fabb4c17_195091,CVE-2022-23593,CWE-754,35f0fabb4c178253a964d7aabdbb15c6a398b69a,C++,safe,safe,,O,NONE,vuln,CWE-129,X,"shapes[0].getType() and shapes[0] are accessed without verifying shapes is non-empty, risking out-of-bounds access if an empty ValueRange is passed."
10,pv_893fb99b606e_195231,CVE-2021-40565,CWE-476,893fb99b606eebfae46cde151846a980e689039b,C,vuln,safe,,X,NONE,vuln,CWE-476,O,"avc->s_info.sps or n_state.sps may be NULL (unset by attacker-controlled NAL ordering) when dereferenced at poc_type comparisons, causing a crash."
11,pv_893fb99b606e_195231,CVE-2021-40565,CWE-476,893fb99b606eebfae46cde151846a980e689039b,C,safe,safe,,O,NONE,vuln,CWE-476,X,n_state.sps may be NULL when accessing avc->s_info.sps->poc_type comparison since sps is set via pointer lookup that could fail without validation before dereferencing.
12,pv_c8c083cb7506_195295,CVE-2022-1276,CWE-125,c8c083cb750606b2da81582cd8e43b442bb143e6,C,vuln,vuln,CWE-416,O,"The product reuses or references memory after it has been freed. At some point afterward, the memory may be allocated again and saved in another pointer, while the original pointer references a locati",vuln,CWE-190,O,"Argument count 'n' manipulation across positional/keyword/splat branches lacks bounds checking, potentially causing stack pointer corruption or miscalculation in generated bytecode."
13,pv_c8c083cb7506_195295,CVE-2022-1276,CWE-125,c8c083cb750606b2da81582cd8e43b442bb143e6,C,safe,vuln,CWE-416,X,"The product reuses or references memory after it has been freed. At some point afterward, the memory may be allocated again and saved in another pointer, while the original pointer references a locati",vuln,CWE-190,X,"n and argument counters (e.g., n=15 handling, pop_n counts) are derived from parsed AST structures without bounds validation, risking stack pointer miscalculation on crafted deeply nested call/args."
14,pv_462fca2c666e_195308,CVE-2021-41133,CWE-20,462fca2c666e0cd2b60d6d2593a7216a83047aaf,C,vuln,safe,,X,NONE,vuln,CWE-732,O,"Seccomp filtering relies on an arch-add rather than replace and an incomplete syscall denylist, allowing potential sandbox escape via native-arch syscalls or unblocked namespace/mount-related syscalls"
15,pv_462fca2c666e_195308,CVE-2021-41133,CWE-20,462fca2c666e0cd2b60d6d2593a7216a83047aaf,C,safe,safe,,O,NONE,vuln,,X,"Blocklist-based seccomp filtering (rather than allowlist) plus dual-arch support means newly added or arch-specific syscalls (e.g., new mount-namespace or clone-like syscalls) could bypass sandbox res"
16,pv_b03c9f252526_195334,CVE-2021-40573,CWE-415,b03c9f252526bb42fbd1b87b9f5e339c3cf2390a,C,vuln,safe,,X,NONE,vuln,CWE-190,O,"item_count/extent_count from untrusted input drive unbounded malloc/list-add loops without validation against remaining stream size, allowing memory exhaustion."
17,pv_b03c9f252526_195334,CVE-2021-40573,CWE-415,b03c9f252526bb42fbd1b87b9f5e339c3cf2390a,C,safe,safe,,O,NONE,vuln,CWE-190,X,"base_offset_size/offset_size/length_size can be up to 15, and ISOM_DECREASE_SIZE(ptr, (2+ptr->base_offset_size)) computations could allow size checks to pass incorrectly or overflow, leading to potent"
18,pv_9904cb6d2eb4_195471,CVE-2020-9759,CWE-476,9904cb6d2eb40f679d8ff6557c22d53a3e3dc75a,C,vuln,safe,,X,NONE,vuln,CWE-129,O,"pos_hopcount/pos_realname computed with off-by conditions using 'argc >' instead of proper arg_start+1 bounds checks, potentially reading argv_eol out of allocated arg range when message has exactly a"
19,pv_9904cb6d2eb4_195471,CVE-2020-9759,CWE-476,9904cb6d2eb40f679d8ff6557c22d53a3e3dc75a,C,safe,safe,,O,NONE,vuln,CWE-129,X,"pos_hopcount/pos_realname dereference argv[arg_start]+1 without verifying arg_start length or that argv[7] index is valid relative to actual argc, risking out-of-bounds read on malformed WHO replies."
20,pv_2e00e9547386_195665,CVE-2022-29779,CWE-703,2e00e95473861846aa8538be87db07699d9f676d,C,vuln,safe,,X,NONE,vuln,CWE-190,O,"length+delta and array index arithmetic (start, delete, items as int64_t) can overflow or mismatch fast_array bounds, leading to out-of-bounds memcpy/array access."
21,pv_2e00e9547386_195665,CVE-2022-29779,CWE-703,2e00e95473861846aa8538be87db07699d9f676d,C,safe,safe,,O,NONE,vuln,CWE-190,X,"When nargs==2, 'delete' is computed as length-start without clamping against actual fast_array->length, and if this array is not fast_array but object.fast_array deleted is fast, the copy loop can wri"
22,pv_0c8a2a2cd105_195801,CVE-2016-7132,CWE-476,0c8a2a2cd1056b7dc403eacb5d2c0eec6ce47c6f,C,vuln,safe,,X,NONE,vuln,CWE-502,O,PHP class instantiation via attacker-controlled classname field during XML/WDDX deserialization allows arbitrary object injection and __wakeup() invocation.
23,pv_0c8a2a2cd105_195801,CVE-2016-7132,CWE-476,0c8a2a2cd1056b7dc403eacb5d2c0eec6ce47c6f,C,safe,safe,,O,NONE,vuln,CWE-502,X,"Class name from XML input is used to instantiate arbitrary PHP classes via zend_hash_find_ptr/object_init_ex without restriction, enabling object injection attacks."
24,pv_a74702c630e1_196276,CVE-2022-30592,CWE-269,a74702c630e108125e71898398737baec8f02238,C,vuln,safe,,X,NONE,safe,,X,"Function properly validates state, checks return values, and uses fixed-size buffer with size tracking; no evident memory or logic flaw."
25,pv_a74702c630e1_196276,CVE-2022-30592,CWE-269,a74702c630e108125e71898398737baec8f02238,C,safe,safe,,O,NONE,safe,,O,"No memory corruption, injection, or improper validation is evident; input sizes are checked and encoder init handles bounds internally."
26,pv_0a9f9a741068_196316,CVE-2021-37847,CWE-200,0a9f9a7410681e55362f8311537ebc7be9ad0fbe,C,vuln,safe,,X,NONE,vuln,CWE-208,O,Using memcmp for digest comparison allows timing attacks to potentially forge valid MACs/digests.
27,pv_0a9f9a741068_196316,CVE-2021-37847,CWE-200,0a9f9a7410681e55362f8311537ebc7be9ad0fbe,C,safe,safe,,O,NONE,vuln,CWE-20,X,"digest_length() return value is not validated before use in xmalloc, so a negative or zero length could cause allocation errors or undersized buffer issues."
28,pv_44db8213d38c_196578,CVE-2022-0407,CWE-787,44db8213d38c39877d2148eff6a72f4beccfb94e,C,vuln,safe,,X,NONE,vuln,CWE-191,O,"The while loop checks VIM_ISWHITE(*(bd->textstart + s - 1)) before checking s > 0, allowing s to underflow and read out-of-bounds memory."
29,pv_44db8213d38c_196578,CVE-2022-0407,CWE-787,44db8213d38c39877d2148eff6a72f4beccfb94e,C,safe,safe,,O,NONE,vuln,CWE-191,X,"The trailing whitespace-trimming loop can decrement pnew past the buffer start if s underflows or mb_head_off returns unexpected values, causing an out-of-bounds write."
30,pv_35bf0b7b048d_196611,CVE-2022-2553,CWE-284,35bf0b7b048d715f671eb68974fb6b4af6528c67,C,vuln,safe,,X,NONE,vuln,CWE-252,O,"find_myself(NULL, ...) return value is ignored, potentially leaving 'local' pointer unset or misconfigured without error handling."
31,pv_35bf0b7b048d_196611,CVE-2022-2553,CWE-284,35bf0b7b048d715f671eb68974fb6b4af6528c67,C,safe,safe,,O,NONE,vuln,CWE-129,X,"cl.site and other config-derived strings are used without bounds validation before array/pointer operations like find_site_by_name, relying on external config trustworthiness."
32,pv_f5a038e68930_196801,CVE-2021-40567,CWE-703,f5a038e6893019ee471b6a57490cf7a495673816,C,vuln,vuln,CWE-125,O,"The product reads data past the end, or before the beginning, of the intended buffer.",vuln,CWE-120,O,"gf_base64_encode writes into fixed buf64[5000] with hardcoded max length 2000 but sample data length is unchecked, risking stack buffer overflow with large samples."
33,pv_f5a038e68930_196801,CVE-2021-40567,CWE-703,f5a038e6893019ee471b6a57490cf7a495673816,C,safe,vuln,CWE-125,X,"The product reads data past the end, or before the beginning, of the intended buffer.",vuln,CWE-120,X,"gf_base64_encode writes up to 2000 bytes into buf64[5000] without validating input sample size, and sdpLine/buf64 sizes assume bounded data, risking overflow with crafted large samples."
34,pv_bd36c5dc9fb6_196889,CVE-2021-3521,CWE-284,bd36c5dc9fb6d90c46fbfed8c2d67516fc571ec8,C,vuln,safe,,X,NONE,vuln,CWE-401,O,"If decodePkt or pgpPrtPkt fails partway, loop breaks without advancing p to pend, but digp memory handling relies on rc check; malformed packet chains can cause improper parsing state without validati"
35,pv_bd36c5dc9fb6_196889,CVE-2021-3521,CWE-284,bd36c5dc9fb6d90c46fbfed8c2d67516fc571ec8,C,safe,safe,,O,NONE,vuln,CWE-415,X,"selfsig is used to call pgpVerifySelf then freed and checked again in prevtag logic but if pgpPrtPkt fails after selfsig allocation but before break, leaked/mismanaged pointer states combined with loo"
36,pv_7dfa400ded53_196993,CVE-2021-36692,CWE-369,7dfa400ded53919d986c5d3d23446a09e0cf481b,C++,vuln,safe,,X,NONE,vuln,CWE-190,O,"rowbytes = w * 4 and imagesize = h * rowbytes can overflow for large w/h near cMaxPNGSize, causing undersized allocation of frameRaw.p and subsequent out-of-bounds writes when decoding pixel data."
37,pv_7dfa400ded53_196993,CVE-2021-36692,CWE-369,7dfa400ded53919d986c5d3d23446a09e0cf481b,C++,safe,safe,,O,NONE,vuln,CWE-190,X,"rowbytes = w * 4 and imagesize = h * rowbytes can overflow before the cMaxPNGSize check effectively constrains allocation, allowing undersized buffer allocation and subsequent out-of-bounds writes whe"
38,pv_505d9dcb0f7d_197135,CVE-2021-3744,CWE-703,505d9dcb0f7ddf9d075e729523a33d38642ae680,C,vuln,safe,,X,NONE,vuln,CWE-191,O,"For decryption, `ilen = aes->src_len - authsize` can underflow if src_len is less than authsize, leading to a huge ilen value and out-of-bounds memory access."
39,pv_505d9dcb0f7d_197135,CVE-2021-3744,CWE-703,505d9dcb0f7ddf9d075e729523a33d38642ae680,C,safe,safe,,O,NONE,vuln,CWE-191,X,"aes->src_len - authsize can underflow if src_len < authsize during decryption, causing huge ilen and out-of-bounds memory access."
40,pv_187035b97267_197511,CVE-2022-31796,CWE-787,187035b9726710b4fe11d565c7808975c930895d,C++,vuln,safe,,X,NONE,vuln,CWE-190,O,"m_ucCount*8 and allocation size multiplications lack bounds checks, risking overflow and undersized buffer allocation leading to memory corruption."
41,pv_187035b97267_197511,CVE-2022-31796,CWE-787,187035b9726710b4fe11d565c7808975c930895d,C++,safe,safe,,O,NONE,vuln,CWE-190,X,"m_ucCount*8 and allocation sizes are unchecked, potentially causing integer overflow leading to undersized buffer allocation."
42,pv_84d4b53122e0_197565,CVE-2021-45936,CWE-787,84d4b53122e0fa0280c7872350b89d5777dabbb2,C,vuln,safe,,X,NONE,vuln,CWE-835,O,"The ""wait_again"" goto loop can retry indefinitely without decrementing timeout_ms per iteration, allowing mismatched packets to cause excessive blocking or resource exhaustion."
43,pv_84d4b53122e0_197565,CVE-2021-45936,CWE-787,84d4b53122e0fa0280c7872350b89d5777dabbb2,C,safe,safe,,O,NONE,vuln,CWE-835,X,"The ""wait_again"" goto loop can spin indefinitely without decrementing timeout_ms if unmatched packets keep arriving or errors recur, causing resource exhaustion/DoS."
44,pv_1b5f5cea5145_198499,CVE-2020-27209,CWE-415,1b5f5cea5145c96dd8791b9b2c41424fc74c2172,C,vuln,safe,,X,NONE,vuln,CWE-208,O,"Fallback path when g_rng_function is NULL uses a fixed blinding value (tmp=1), weakening side-channel protection of uECC_vli_modInv and enabling timing/DPA attacks on the private key."
45,pv_1b5f5cea5145_198499,CVE-2020-27209,CWE-415,1b5f5cea5145c96dd8791b9b2c41424fc74c2172,C,safe,safe,,O,NONE,vuln,CWE-208,X,"Side-channel resistance relies on optional RNG (g_rng_function); if unset, k blinding falls back to constant tmp[0]=1, weakening protection against timing/power analysis attacks on modInv and key oper"
46,pv_eafc415bc606_198566,CVE-2022-1533,CWE-787,eafc415bc6067e72577f70d6dd5acbf057ce6e6f,C,vuln,safe,,X,NONE,parse_fail,,X,
47,pv_eafc415bc606_198566,CVE-2022-1533,CWE-787,eafc415bc6067e72577f70d6dd5acbf057ce6e6f,C,safe,safe,,O,NONE,vuln,CWE-787,X,"pos/l bounds checks occur after computing pointers, and l<0 or pos overflow checks don't prevent d+l or pointer arithmetic wraparound before memmove, allowing heap buffer overflow with crafted rule da"
48,pv_7bab09631c2a_198692,CVE-2017-11600,CWE-125,7bab09631c2a303f87a7eb7e3d69e888673b9b7e,C,vuln,safe,,X,NONE,vuln,CWE-129,O,"num_migrate is not bounds-checked against XFRM_MAX_DEPTH before looping and writing to fixed-size x_cur/x_new arrays, allowing stack buffer overflow."
49,pv_7bab09631c2a_198692,CVE-2017-11600,CWE-125,7bab09631c2a303f87a7eb7e3d69e888673b9b7e,C,safe,safe,,O,NONE,vuln,CWE-129,X,"num_migrate is not bounds-checked against XFRM_MAX_DEPTH before the loop, allowing nx_cur/nx_new to exceed x_cur/x_new array sizes causing stack buffer overflow."
50,pv_fd607a3439fc_198695,CVE-2019-14464,CWE-787,fd607a3439fcdd0992e5efded3c16fc79c804e34,C++,vuln,safe,,X,NONE,vuln,CWE-129,O,"header->ordnum/insnum/patnum are read directly from file and used to index fixed-size arrays (header->ord, instr[], smp[], phead[]) without bounds checking, allowing heap/stack buffer overflow via cra"
51,pv_fd607a3439fc_198695,CVE-2019-14464,CWE-787,fd607a3439fcdd0992e5efded3c16fc79c804e34,C++,safe,safe,,O,NONE,vuln,CWE-129,X,"header->ordnum is read from file with no upper bound check before allocating/reading into orders and header->ord array, and instrument index i is used to write into smp[s]/instr[i] without validating "
52,pv_4606c28f494a_198703,CVE-2015-3885,CWE-189,4606c28f494a750892c5c1ac7903e62dd1c6fdb5,C,vuln,vuln,CWE-125,O,The ljpeg_start function in libimageworsener/ljpeg.c in ImageWorsener before 1.3.1 allows remote attackers to cause a denial of service (out-of-bounds read) via a crafted image.,vuln,CWE-787,O,"len is computed from untrusted header bytes without bounds checking against the 0x10000 data buffer size before fread(data, 1, len, ifp), allowing buffer overflow if len exceeds buffer size."
