row,pair_id,cve_id,cwe_id(정답),commit/출처,language,정답,우리_판정,우리_CWE,우리_정답여부,우리_사유,Claude_판정,Claude_CWE,Claude_정답여부,Claude_사유
0,,CVE-2024-24746,CWE-835,2024-04-06T12:15Z,C,vuln,vuln,CWE-416,O,"The product reuses or references memory after it has been freed. At some point afterward, the memory may be allocated again and saved in another pointer, while the original pointer references a locati",vuln,CWE-191,O,time_diff computed as unsigned/mixed subtraction (bhc_rx_timeout - now) can underflow causing incorrect timeout detection or missed connection termination.
1,,CVE-2024-24746,CWE-835,2024-04-06T12:15Z,C,safe,vuln,CWE-416,X,"The product reuses or references memory after it has been freed. At some point afterward, the memory may be allocated again and saved in another pointer, while the original pointer references a locati",vuln,CWE-670,X,"The rx-timeout branch unconditionally calls ble_gap_terminate_with_conn without checking if time_diff indicates an actual timeout, causing premature disconn"
2,,CVE-2023-51665,CWE-918,2023-12-27T18:15Z,JavaScript,vuln,vuln,CWE-601,O,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",vuln,CWE-918,O,"The server makes an outbound HTTP request to a URL derived from configurable/user-influenced issuerUrl without validation, enabling SSRF."
3,,CVE-2023-51665,CWE-918,2023-12-27T18:15Z,JavaScript,safe,safe,,O,NONE,vuln,CWE-918,X,"The server fetches attacker-controlled issuerUrl without validating against internal hosts/IPs, allowing SSRF to internal network resources or metadata endpoints."
4,,CVE-2023-51697,CWE-918,2023-12-27T18:15Z,JavaScript,vuln,vuln,CWE-918,O,"The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected d",vuln,CWE-918,O,"User-supplied rssFeed URL from req.body is passed to axios.get without validation, enabling requests to internal/arbitrary hosts."
5,,CVE-2023-51697,CWE-918,2023-12-27T18:15Z,JavaScript,safe,safe,,O,NONE,vuln,CWE-918,X,"SSRF filter only checks the initial feedUrl but axios follows redirects by default, and validateUrl doesn't restrict URL scheme, allowing potential bypass to internal resources."
6,,CVE-2023-37908,CWE-79,2023-10-25T18:17Z,Java,vuln,vuln,CWE-79,O,The manipulation leads to cross site scripting.,vuln,CWE-79,O,"Attribute values and names are copied/prefixed without evident sanitization or encoding, risking injection if later rendered in HTML/XML output."
7,,CVE-2023-37908,CWE-79,2023-10-25T18:17Z,Java,safe,safe,,O,NONE,parse_fail,,X,
8,,CVE-2021-4431,CWE-79,2023-11-07T11:15Z,PHP,vuln,vuln,CWE-79,O,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,vuln,CWE-79,O,"Database/record values and exception messages are echoed directly into HTML without output encoding, enabling stored/reflected XSS if data is attacker-influenced."
9,,CVE-2021-4431,CWE-79,2023-11-07T11:15Z,PHP,safe,safe,,O,NONE,vuln,CWE-209,X,"Exception messages and internal details (error codes, table names, script errors) are directly echoed to output, potentially exposing sensitive system information to users."
10,,CVE-2023-3531,CWE-79,2023-07-06T20:15Z,PHP,vuln,safe,,X,NONE,vuln,CWE-89,O,"$post_nb and $row['id'] are concatenated directly into SQL queries without parameterization or sanitization, allowing potential SQL injection."
11,,CVE-2023-3531,CWE-79,2023-07-06T20:15Z,PHP,safe,safe,,O,NONE,vuln,CWE-89,X,"Values like $item['datetime'], $item['id'], and $row['id'] from query results are concatenated directly into UPDATE statements without escaping or parameterization."
12,,CVE-2023-3551,CWE-94,2023-07-08T09:15Z,PHP,vuln,vuln,CWE-79,O,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,vuln,CWE-79,O,"Settings values like $SETTINGS['ga_website_name'], duo_ikey/skey/host echoed directly into HTML attributes without htmlspecialchars encoding, allowing stored XSS if these values are attacker-controlle"
13,,CVE-2023-3551,CWE-94,2023-07-08T09:15Z,PHP,safe,safe,,O,NONE,vuln,CWE-79,X,"Settings values (e.g., duo_ikey, duo_skey) are echoed directly into HTML attributes without output encoding, risking stored XSS if user-controlled."
14,,CVE-2023-3552,CWE-116,2023-07-08T09:15Z,PHP,vuln,vuln,CWE-79,O,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,vuln,CWE-79,O,"Decoding HTML entities back to raw characters before DOMPurify sanitization can allow double-encoded payloads to bypass sanitization, enabling XSS injection."
15,,CVE-2023-3552,CWE-116,2023-07-08T09:15Z,PHP,safe,safe,,O,NONE,vuln,CWE-79,X,"Decoding HTML entities before DOMPurify.sanitize() can reintroduce raw markup, potentially bypassing sanitization if double-encoded or crafted payloads exploit ordering of replace/sanitize logic."
16,,CVE-2023-3565,CWE-79,2023-07-10T16:15Z,PHP,vuln,vuln,CWE-79,O,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,vuln,CWE-79,O,"$SETTINGS values are echoed into HTML attribute values without htmlspecialchars encoding, allowing stored XSS if these settings are attacker-influenced."
17,,CVE-2023-3565,CWE-79,2023-07-10T16:15Z,PHP,safe,safe,,O,NONE,vuln,CWE-79,X,"$SETTINGS values are echoed directly into HTML attributes without output encoding, risky if settings values can be influenced by untrusted input."
18,,CVE-2023-7166,CWE-79,2023-12-29T09:15Z,Java,vuln,vuln,CWE-79,O,The manipulation leads to cross site scripting.,vuln,CWE-521,O,"Password field only validated with @NotBlank, lacking complexity/length constraints, allowing weak passwords."
19,,CVE-2023-7166,CWE-79,2023-12-29T09:15Z,Java,safe,vuln,CWE-79,X,The manipulation leads to cross site scripting.,vuln,CWE-522,X,"Password field lacks strength/complexity validation and no evidence of hashing, allowing weak passwords to be stored."
20,,CVE-2023-7171,CWE-79,2023-12-29T18:15Z,Java,vuln,vuln,CWE-79,O,The manipulation leads to cross site scripting.,vuln,CWE-79,O,"linkUrl/linkName fields lack input validation/output encoding, allowing stored XSS when rendered, and no URL scheme validation enables javascript: URI injection."
21,,CVE-2023-7171,CWE-79,2023-12-29T18:15Z,Java,safe,safe,,O,NONE,vuln,CWE-79,X,"linkName and linkUrl fields lack output encoding/sanitization and rely only on @URL format validation, allowing stored XSS if rendered unescaped in views."
22,,CVE-2023-52266,CWE-416,2023-12-31T00:15Z,C++,vuln,vuln,CWE-416,O,"The product reuses or references memory after it has been freed. At some point afterward, the memory may be allocated again and saved in another pointer, while the original pointer references a locati",vuln,CWE-134,O,"read_buffer is logged via %s without validation/sanitization, potentially exposing sensitive data or causing issues if logging macro mishandles content."
23,,CVE-2023-52266,CWE-416,2023-12-31T00:15Z,C++,safe,safe,,O,NONE,vuln,CWE-20,X,"No bounds checking on read_buffer/read_size before logging, allowing oversized client input (as shown by the exploit script) to potentially cause buffer over-read or denial of service."
24,,CVE-2023-37185,CWE-476,2023-12-25T07:15Z,C,safe,safe,,O,NONE,safe,,O,Code only performs redundant null checks on schunk fields; no exploitable flaw is evident from this snippet.
25,,CVE-2023-37186,CWE-476,2023-12-25T07:15Z,C,vuln,vuln,CWE-190,O,The product performs a calculation that can produce an integer overflow or wraparound when the logic assumes that the resulting value will always be larger than the original value. This occurs when an,vuln,CWE-190,O,"blockshape[0] * blockshape[1] multiplication can overflow before comparison, causing incorrect bounds check and potential buffer overflow."
26,,CVE-2023-37186,CWE-476,2023-12-25T07:15Z,C,safe,vuln,CWE-125,X,"The product reads data past the end, or before the beginning, of the intended buffer.",vuln,CWE-190,X,"Multiplication of blockshape[0]*blockshape[1] could overflow before cast, leading to incorrect bounds check and potential buffer overflow."
